timestamp,x,y,z,w
1482546872249146,-0.187317,-0.219849,0.858826,0.423096
1482546872270156,-0.189636,-0.219788,0.858459,0.422791
1482546872284196,-0.191956,-0.221252,0.857849,0.422241
1482546872308182,-0.192749,-0.221741,0.857788,0.421753
1482546872330397,-0.193787,-0.221741,0.858276,0.420227
1482546872344561,-0.192993,-0.222778,0.858276,0.420105
1482546872373714,-0.19397,-0.220703,0.859131,0.418884
1482546872390682,-0.195801,-0.219482,0.859314,0.418335
1482546872404710,-0.198303,-0.217834,0.859741,0.417175
1482546872427744,-0.19989,-0.216675,0.860229,0.415955
1482546872450397,-0.200256,-0.215271,0.860962,0.415039
1482546872464436,-0.199463,-0.213684,0.861389,0.415344
1482546872487452,-0.198364,-0.212158,0.861023,0.417358
1482546872510448,-0.197937,-0.211243,0.859924,0.420288
1482546872525011,-0.198547,-0.211731,0.858337,0.423096
1482546872548058,-0.200256,-0.212891,0.857178,0.42395
1482546872553063,-0.201172,-0.211975,0.857178,0.424011
1482546872576076,-0.202332,-0.209167,0.858276,0.422607
1482546872598095,-0.203125,-0.204956,0.859985,0.420776
1482546872613087,-0.204163,-0.200806,0.861755,0.418701
1482546872651731,-0.205872,-0.198242,0.862854,0.41687
1482546872657735,-0.209351,-0.196106,0.863525,0.414673
1482546872672747,-0.213928,-0.192932,0.864502,0.411865
1482546872695764,-0.218811,-0.188843,0.865723,0.408508
1482546872718277,-0.221924,-0.183655,0.867676,0.405151
1482546872732856,-0.223328,-0.177368,0.870544,0.40094
1482546872755984,-0.223694,-0.173401,0.873535,0.395996
1482546872777997,-0.225708,-0.168518,0.877808,0.38739
1482546872793009,-0.225525,-0.159302,0.884094,0.376953
1482546872816006,-0.225037,-0.147888,0.892029,0.362976
1482546872838129,-0.223389,-0.142578,0.89978,0.346558
1482546872853140,-0.220642,-0.140076,0.907104,0.329773
1482546872875156,-0.21698,-0.137573,0.914795,0.311584
1482546872898174,-0.211121,-0.134399,0.922729,0.29303
1482546872913257,-0.204224,-0.131165,0.930237,0.275085
